id_cliente,data_cadastro,nome_completo,cpf,data_nascimento,genero,cidade,estado,profissao,renda_mensal_bruta,score_credito_inicial,segmento_cliente,status_conta,data_ultimo_login,data_cancelamento
12,2025-04-22,Maria Luísa Correia,196.235.470-99,1982-09-30,Outro,Araújo,MG,Windsurfer,18828.11,656.42,Economy,Cancelada,2025-06-16,
13,2022-04-28,Vitor Gabriel Machado,269.731.045-25,1999-08-09,Outro,Rezende,PI,Agente de defesa sanitária,6029.0,554.24,Standard,Cancelada,2023-02-22,
14,2025-06-22,Nicolas Mendonça,736.018.952-77,2003-05-11,Masculino,da Paz de Lima,RR,Zootecnista,14165.36,763.57,Premium,Ativa,2025-08-09,
15,2025-08-09,Gabriel da Rocha,308.527.461-80,1981-11-11,Feminino,Araújo,PE,Bancário,8921.55,336.4,Economy,Cancelada,2025-08-15,
16,2024-11-19,Nathan Campos,930.478.215-50,1953-08-08,Outro,da Costa Paulista,MG,Chaveiro,10735.78,786.58,Economy,Inativa,2024-12-07,
17,2023-12-27,Anthony Marques,918.476.205-58,1967-01-11,Masculino,da Cruz,MS,Escrivão,6062.61,608.75,Standard,Cancelada,2024-07-03,
18,2021-06-01,Vitória Albuquerque,841.720.953-05,1997-12-26,Outro,da Paz do Oeste,RR,Ginasta artística,8888.91,420.63,Premium,Cancelada,2024-05-18,
19,2021-08-23,Isis Aragão,164.082.973-31,1986-05-31,Masculino,Sousa,PB,Porteiro,17430.4,384.06,Premium,Cancelada,2022-09-11,
20,2024-02-27,Srta. Ísis Andrade,582.310.794-32,1982-02-28,Masculino,Costela de Goiás,RO,Cadeirinha,8618.2,627.74,Standard,Cancelada,2024-04-27,
21,2022-05-25,Daniela da Costa,296.018.347-96,1982-02-06,Outro,Castro do Campo,MG,Árbitro e mediador,17424.42,306.31,Economy,Ativa,2025-03-23,
22,2024-12-02,Marcela das Neves,390.518.267-02,1962-07-13,Outro,Ferreira do Galho,MG,Tecnólogo em negócios imobiliários,15391.24,722.73,Standard,Ativa,2025-07-01,
23,2025-07-14,José Pedro Cavalcanti,940.783.251-14,1980-09-23,Masculino,Pereira do Galho,AM,Jogador de golfe,9893.89,824.6,Economy,Inativa,2025-08-15,
24,2025-02-15,Agatha Moreira,835.902.467-74,1960-08-26,Masculino,Montenegro da Mata,RO,Leiteiro,10892.11,358.53,Economy,Inativa,2025-02-23,
25,2022-04-04,Otto Rios,624.370.815-26,1990-01-24,Outro,Viana Verde,RN,Técnico de gesso,12765.95,384.06,Premium,Cancelada,2024-02-16,
26,2022-03-28,Olívia Vieira,214.756.903-80,1975-04-02,Outro,Câmara do Oeste,BA,Alfaiate,18492.13,629.42,Standard,Ativa,2024-07-12,
27,2020-11-09,Rafael Leão,936.871.420-78,2006-09-11,Feminino,Vasconcelos,PA,Economista,17756.35,757.42,Standard,Ativa,2023-10-10,
28,2021-07-04,Davi Marques,275.634.891-00,2005-03-10,Outro,Souza,PR,Meredeira,19018.56,347.11,Standard,Ativa,2023-08-23,2021-09-17
29,2021-12-03,Raquel Pires,347.052.198-05,1963-12-20,Outro,Nogueira de Minas,BA,Cobrador de ônibus,15667.94,370.62,Standard,Cancelada,2024-04-14,
30,2021-10-13,Oliver Jesus,587.301.649-66,1989-11-16,Outro,Mendes do Sul,MS,Faxineiro,17640.01,532.73,Premium,Cancelada,2024-07-01,
31,2024-05-24,Zoe Souza,837.129.406-96,1999-02-16,Outro,Rios das Flores,SC,Consultor de radiestesia,5221.29,471.44,Economy,Cancelada,2025-07-27,
32,2024-10-30,Amanda Gonçalves,901.537.682-40,2002-12-17,Outro,Garcia Alegre,DF,Meteorologista,9852.49,436.35,Premium,Inativa,2025-08-12,
33,2022-04-06,Isis Barros,708.219.436-69,1993-10-11,Outro,Almeida,RN,Coloproctologista,5757.12,421.12,Premium,Cancelada,2023-07-16,2024-10-16
34,2021-10-26,Ravi Lucca Sampaio,452.960.138-24,1977-02-03,Masculino,das Neves,RJ,Tecnólogo em jogos digitais,2746.91,317.28,Standard,Ativa,2022-04-03,
35,2025-03-02,Breno Pastor,314.657.029-70,1971-05-25,Feminino,Nascimento das Pedras,RO,Instrumentador cirúrgico,13876.09,417.83,Premium,Cancelada,2025-08-08,
36,2020-12-20,Rebeca Caldeira,657.813.924-91,1987-03-09,Outro,Martins de Lopes,TO,Zootecnista,12159.92,433.65,Standard,Inativa,2021-01-10,
37,2023-08-04,João Lucas Machado,376.209.851-40,1968-04-27,Masculino,Fogaça,SE,Engenheiro de produção agroindustrial,13691.18,494.86,Standard,Inativa,2024-02-02,
38,2022-04-30,Anthony Moreira,319.576.824-00,2000-09-07,Masculino,Machado de Vieira,AC,Bóia-fria,13957.24,841.29,Premium,Ativa,2024-08-22,
39,2022-02-05,Maria Eduarda Melo,895.374.216-19,1973-01-30,Feminino,das Neves Paulista,ES,Carteiro,16310.96,360.1,Premium,Ativa,2022-12-15,
40,2024-03-26,Srta. Evelyn Cunha,748.012.536-44,1967-12-06,Masculino,Albuquerque da Prata,BA,Engenheiro petroquímico,9304.81,453.2,Premium,Ativa,2025-04-08,
41,2020-11-08,Samuel Caldeira,047.362.195-99,1952-10-16,Outro,Camargo de Azevedo,MG,Office-boy,3311.31,658.68,Economy,Ativa,2022-04-01,
42,2020-12-30,Kevin Barros,316.475.829-46,1986-02-19,Masculino,Macedo de da Rosa,RJ,Manobrista,4576.76,567.1,Premium,Inativa,2021-03-30,
43,2022-02-25,Srta. Giovanna Pires,341.765.092-52,1985-08-24,Masculino,Machado do Amparo,MA,Anestesiologista,8511.0,841.92,Standard,Inativa,2024-04-09,
44,2021-10-13,Ana Sophia Rodrigues,349.708.125-60,1990-08-19,Outro,Casa Grande de Minas,AL,Consultor de radiestesia,19210.38,847.48,Economy,Cancelada,2024-06-26,
45,2024-08-04,Pedro Lucas Campos,746.285.310-80,1984-02-21,Masculino,Lopes,SC,Gandula,5013.11,419.74,Premium,Cancelada,2025-06-12,
46,2023-08-24,Alícia Teixeira,402.396.781-50,1951-02-16,Masculino,Borges de Melo,MS,Leiteiro,15337.55,331.44,Economy,Inativa,2024-02-05,
47,2022-04-17,Dr. Thales da Paz,680.372.415-80,1988-06-30,Outro,Moraes do Sul,RO,Pizzaiolo,4412.51,828.43,Premium,Ativa,2025-02-25,
48,2022-12-09,Melina Teixeira,034.712.865-35,1952-10-09,Masculino,Alves,RS,Regente,13991.43,429.36,Premium,Cancelada,2024-05-01,2024-08-12
49,2024-08-16,Yuri Jesus,139.807.624-40,1990-10-18,Outro,Leão do Amparo,PR,Engenheiro cartográfico,2235.22,345.09,Economy,Cancelada,2024-12-08,
50,2022-11-29,Sophia Souza,214.639.708-03,1958-01-07,Feminino,Pastor Verde,RO,Odontologista preventivo e social,18792.07,412.34,Economy,Inativa,2023-06-06,
51,2024-12-14,Dr. Rafael Duarte,396.180.257-21,1975-07-12,Feminino,Gomes Grande,PR,Apontador de mão-de-obra,3921.25,655.03,Standard,Inativa,2025-04-12,
52,2021-04-04,Pedro Lucas Brito,870.513.694-66,2005-08-14,Masculino,Fernandes das Flores,RS,Bancário,1672.34,641.64,Economy,Ativa,2022-09-16,
53,2024-11-20,Dr. Vitor Hugo Andrade,913.562.840-51,1999-01-23,Masculino,Brito do Campo,PB,Contábil,10858.87,372.85,Standard,Ativa,2025-07-10,2025-03-02
54,2024-02-05,Juan Fogaça,562.143.807-80,2002-01-10,Feminino,Pimenta,MG,Roteirista,6772.27,541.0,Economy,Cancelada,2024-03-01,
55,2024-01-17,Ravi Porto,479.503.286-65,1978-06-29,Outro,Macedo,MS,Promotor público/de justiça,11285.4,667.32,Economy,Inativa,2024-12-19,
56,2022-02-14,Liz Costa,671.834.259-91,2005-06-04,Masculino,Almeida das Flores,GO,Advogado,18870.21,373.86,Premium,Ativa,2024-07-17,
57,2023-06-16,Theo da Paz,359.814.270-60,1989-05-27,Masculino,Pires,RS,Argumentista,6538.44,632.66,Economy,Inativa,2025-01-27,
58,2022-03-04,Srta. Ayla da Rocha,562.184.739-37,1975-03-13,Outro,da Cunha,TO,Numerólogo,17278.89,577.97,Standard,Ativa,2024-03-05,
59,2025-06-19,Ana Vitória Casa Grande,365.098.274-92,1966-09-30,Feminino,Freitas de Rocha,SC,Tecnólogo em Ciências das plantas medicinais,16842.94,324.25,Standard,Ativa,2025-08-10,2025-08-06
60,2021-12-08,Sr. Igor Melo,085.419.327-88,1971-09-23,Feminino,Camargo Grande,AL,Apresentador,4489.27,543.01,Economy,Inativa,2024-04-17,
61,2022-02-24,Catarina Gomes,756.481.320-26,1978-03-14,Masculino,Pimenta de Jesus,GO,Anestesiologista,2892.01,785.71,Premium,Cancelada,2022-06-27,
62,2024-01-30,Sr. Léo Nogueira,506.218.347-26,1962-03-25,Feminino,Aragão,SE,Gerente de banco,12276.43,381.45,Premium,Ativa,2024-10-07,2024-06-11
63,2021-11-05,Yuri Costela,938.214.057-32,1956-12-06,Masculino,Nogueira,GO,Controller,18130.11,415.54,Premium,Cancelada,2023-12-25,
64,2021-03-05,Sr. Lorenzo Almeida,240.153.798-88,1999-11-18,Outro,Machado de Vasconcelos,MS,Pára-quedista,17856.49,523.51,Economy,Cancelada,2021-10-05,
65,2023-08-06,Ana Clara Siqueira,847.506.312-80,1975-11-05,Masculino,Mendonça,RR,Médico cirurgião,17495.21,836.91,Premium,Inativa,2024-01-17,
66,2020-12-29,Yan Silva,564.379.802-65,1954-04-25,Outro,Lopes,PB,Embalador,18603.01,730.31,Standard,Cancelada,2023-10-24,2021-04-19
67,2022-09-12,Srta. Luara Lima,549.173.082-32,1997-08-14,Masculino,Lopes,AM,Instrutor,6435.91,733.06,Premium,Inativa,2023-11-13,
68,2024-09-08,Luísa Rios,165.873.092-59,1981-11-24,Feminino,Caldeira Verde,PE,Diretor de fotografia,5615.02,749.12,Standard,Inativa,2025-03-28,
69,2021-05-26,Dr. Danilo Teixeira,436.795.021-25,1977-08-05,Masculino,Cirino,GO,Tosador,5624.09,663.02,Standard,Inativa,2024-12-25,
70,2024-06-09,Diego Nunes,612.590.473-34,2003-01-28,Masculino,Leão dos Dourados,MT,Comprador,19387.45,453.52,Economy,Cancelada,2024-11-08,
71,2022-06-24,Antonella Aragão,290.578.341-97,1991-06-25,Outro,Pereira de Macedo,PA,Engenheiro naval,7626.27,315.18,Standard,Ativa,2024-12-04,
72,2021-09-14,João Miguel Rocha,974.013.682-69,1979-05-06,Feminino,Cunha Grande,SP,Engenheiro de minas,2207.76,628.11,Standard,Cancelada,2023-01-21,
73,2022-01-27,Emanuella Cardoso,683.492.017-03,1956-08-02,Feminino,Almeida dos Dourados,AP,Florista,12714.86,581.28,Standard,Cancelada,2023-11-04,
74,2023-07-04,Lavínia Camargo,605.143.289-24,1982-11-19,Masculino,da Cruz,PA,Protético dentário,14612.53,300.93,Economy,Cancelada,2025-01-04,
75,2022-08-18,Sra. Hellena Farias,218.467.950-01,1954-03-11,Outro,Caldeira,BA,Engenheiro de petróleo,15135.2,408.37,Standard,Ativa,2025-03-29,
76,2021-08-12,Ana Vitória Cavalcanti,798.546.231-73,1984-07-26,Feminino,Macedo,AP,Mototaxista,13028.38,664.86,Premium,Cancelada,2024-08-31,
77,2022-11-02,Luiz Gustavo Montenegro,147.305.298-04,1967-03-11,Outro,Pimenta,RN,Paginador,7221.77,524.62,Standard,Cancelada,2023-08-09,
78,2022-07-20,Srta. Milena Oliveira,357.410.968-75,1983-04-15,Masculino,Montenegro,RS,Contramestre em transporte marítimo,5049.04,665.71,Standard,Cancelada,2025-06-27,
79,2020-10-27,Stephany Pimenta,258.937.640-56,1990-09-02,Masculino,Azevedo Alegre,AM,Procurador de justiça,12887.03,465.52,Economy,Ativa,2025-08-02,
80,2024-01-08,Clarice Farias,125.873.960-77,1966-02-09,Masculino,Novais das Flores,RS,General,9452.93,618.99,Economy,Inativa,2025-03-08,
81,2024-09-10,Dra. Valentina Borges,685.027.193-86,1988-06-29,Feminino,Correia de Câmara,BA,Comerciante,13999.1,581.15,Economy,Ativa,2025-06-20,
82,2021-01-04,Valentina Andrade,526.179.483-82,1998-08-09,Feminino,Jesus,MS,Tecnólogo em irrigação e drenagem,11035.86,648.12,Standard,Ativa,2021-06-23,
83,2024-03-23,Sra. Isabel Nascimento,347.612.958-64,2005-11-11,Masculino,Montenegro do Galho,PA,Conferente de recebimento,13946.72,423.55,Premium,Ativa,2025-01-30,
84,2024-09-17,Rafaela Freitas,819.207.645-85,1996-02-06,Masculino,Borges de Goiás,TO,Mergulhador,19702.82,636.2,Premium,Inativa,2024-11-02,2024-12-09
85,2025-01-19,Sarah Freitas,361.270.845-71,2003-08-06,Outro,Carvalho,AL,Esgrimista,12149.91,695.09,Standard,Inativa,2025-04-16,
86,2025-03-20,Sra. Melissa Pimenta,019.285.374-05,1977-01-11,Masculino,da Rosa,AM,Artesão,13637.07,303.05,Premium,Inativa,2025-07-23,
87,2021-10-26,Daniel Monteiro,980.546.127-02,1986-09-08,Outro,Lima do Sul,RN,Guardador de veículos,11082.22,327.62,Premium,Ativa,2024-03-10,
88,2021-10-30,Vinicius Fonseca,180.367.592-68,1973-10-15,Feminino,Fogaça,SE,Ator,13850.19,843.34,Economy,Inativa,2024-05-09,
89,2022-05-08,Lívia Carvalho,058.671.324-71,1992-02-20,Feminino,Carvalho,AP,Velejador,12834.07,695.6,Economy,Inativa,2024-05-29,
90,2024-07-05,Guilherme Aparecida,546.783.209-38,1976-03-04,Outro,Fogaça do Norte,RS,Geólogo,9749.4,387.54,Standard,Inativa,2024-11-02,
91,2021-12-29,Maysa Gomes,527.938.401-14,1995-12-28,Masculino,Lopes,RN,Corregedor de justiça,17037.46,452.52,Economy,Inativa,2023-08-01,
92,2023-05-10,Laís das Neves,762.539.801-30,1968-04-04,Feminino,da Mota do Norte,AP,Tecnólogo em automação industrial,9637.64,692.45,Premium,Inativa,2023-07-15,
93,2023-10-25,Eduarda Alves,270.186.943-96,1970-09-13,Outro,Pereira,BA,Tecnólogo em negócios imobiliários,2990.69,382.96,Standard,Cancelada,2025-04-08,
94,2022-11-17,Davi Miguel Moura,569.721.038-86,1971-02-22,Masculino,Moreira de Gomes,PI,Carnavalesco,2688.23,524.18,Economy,Inativa,2024-02-06,
95,2021-12-08,Laura Sales,731.908.624-78,1964-09-21,Masculino,Rodrigues,MT,Técnico em segurança do trabalho,16908.49,514.21,Economy,Cancelada,2023-08-02,
96,2022-05-13,Erick Vieira,583.019.476-75,1953-05-24,Outro,Novaes Verde,MS,Motofrete,8537.05,303.24,Standard,Inativa,2024-02-18,2025-04-10
97,2024-08-24,Benício das Neves,679.834.051-20,1981-08-16,Feminino,Machado,PB,Tecnólogo em papel e celulose,11457.08,704.05,Economy,Ativa,2025-03-31,
98,2023-03-20,Emilly Vargas,260.874.135-53,1957-01-26,Feminino,Duarte,RR,Eletricista,9562.97,315.96,Standard,Cancelada,2025-03-20,
99,2022-05-11,José Costa,842.579.063-83,2004-03-14,Feminino,Cavalcante,RO,Sargento,14897.36,762.28,Premium,Cancelada,2025-04-14,
100,2024-03-25,Ana Cecília Alves,104.597.328-97,1984-09-22,Feminino,Pires de Nogueira,MA,Somelier,12450.02,664.65,Premium,Cancelada,2025-05-29,
101,2025-05-30,Maria Luiza da Rosa,710.835.469-10,1977-08-21,Feminino,Pereira Grande,MT,Ventríloquo,4861.99,443.09,Standard,Ativa,2025-08-02,
102,2022-03-23,Caroline Teixeira,581.273.096-21,2006-12-07,Feminino,Casa Grande,AM,Artista/Técnico em espetáculos de diversões,15582.75,508.52,Standard,Inativa,2023-05-26,
103,2022-01-29,Emanuel Duarte,953.617.482-00,1971-11-28,Feminino,Almeida de Borges,MG,Otorrinolaringologista,1858.59,596.68,Standard,Ativa,2024-04-06,
104,2022-11-30,Benicio da Paz,794.805.361-10,1963-08-04,Outro,Teixeira das Flores,MS,Arranjador musical,2244.78,317.07,Premium,Ativa,2024-06-30,
105,2022-08-18,Laura Barbosa,687.942.035-47,1982-09-14,Outro,Freitas Alegre,PI,Imunologista,4319.07,369.42,Economy,Ativa,2023-03-19,
106,2024-05-27,Ana Cecília Aparecida,025.634.798-00,1961-03-04,Masculino,Pimenta Alegre,CE,Judoca,10103.13,440.93,Standard,Ativa,2025-01-10,
107,2025-07-31,Dr. Kaique Melo,058.793.246-56,1992-07-04,Outro,da Luz de Rezende,SE,Profissional de recursos humanos,14789.61,727.79,Premium,Inativa,2025-08-05,
108,2023-07-08,Vinicius Pires,962.851.073-86,1991-06-21,Masculino,Almeida,PB,Fonoaudiólogo,18684.41,616.69,Standard,Inativa,2024-09-30,
109,2022-09-21,Olivia Sousa,023.487.619-04,1973-07-31,Masculino,Nascimento de Fernandes,PI,Guia turistico,2905.93,679.84,Economy,Ativa,2023-04-25,
110,2024-01-03,Sra. Rafaela Correia,348.125.679-55,1999-12-14,Feminino,Mendes da Praia,PI,Vigia parlamentar,17230.42,630.23,Premium,Cancelada,2025-02-09,
111,2021-12-29,Maria Laura Ferreira,240.957.613-34,1956-09-11,Feminino,Cunha de Costa,TO,Pianista,11355.79,663.84,Premium,Cancelada,2024-06-14,
112,2021-12-25,Isaque da Cruz,083.519.462-06,1982-03-23,Masculino,Brito de Rodrigues,SP,Cientista político,17217.15,752.28,Premium,Inativa,2022-12-21,
113,2020-08-26,Olívia Mendes,345.270.869-10,1981-07-19,Outro,Cavalcanti,PA,Copeiro,17994.14,552.86,Premium,Inativa,2025-04-11,
114,2025-04-19,Ester Souza,408.295.716-20,1951-09-26,Outro,Ramos de Nogueira,PE,Oftalmologista,19361.26,448.55,Economy,Inativa,2025-07-29,
115,2025-01-27,Gael Camargo,527.981.064-94,1957-05-30,Outro,Nunes do Oeste,CE,Remador,12460.78,477.27,Premium,Ativa,2025-05-09,
116,2024-11-28,Lunna Borges,612.837.905-21,2001-08-27,Feminino,da Costa dos Dourados,SP,Engenheiro físico,6011.47,555.59,Economy,Cancelada,2025-07-03,
117,2025-05-26,José Pedro Rezende,530.978.261-30,1967-02-21,Masculino,Sales do Campo,RS,Estoquista,10644.67,478.76,Standard,Ativa,2025-07-25,
118,2022-06-19,Daniela Marques,956.843.102-06,1962-06-09,Feminino,Moura de Santos,MS,Bailarina,7796.27,784.18,Economy,Inativa,2025-06-29,
119,2025-03-19,Gabriela Oliveira,829.743.065-00,1956-02-20,Outro,Borges de Moraes,PB,Assistente de câmera,19039.16,347.09,Economy,Inativa,2025-07-22,
120,2022-11-23,Ravi Rocha,406.281.539-70,1979-05-25,Masculino,Sampaio de Minas,PI,Astrólogo,14276.27,655.25,Standard,Inativa,2024-02-22,
121,2025-04-20,João Pedro Jesus,296.835.410-89,1953-08-19,Masculino,Rezende,MS,Carpinteiro,6943.36,522.42,Premium,Inativa,2025-08-10,
122,2021-07-09,Srta. Agatha Sá,047.568.321-80,1980-10-15,Feminino,da Cruz,PB,Gourmet,10255.32,592.01,Standard,Cancelada,2023-09-10,
123,2021-05-27,Arthur Gabriel Ribeiro,603.185.497-00,1960-07-23,Feminino,Sousa,AL,Lancheiro,14502.82,449.0,Standard,Ativa,2025-02-06,
124,2022-10-27,Davi Miguel Montenegro,435.962.180-98,1980-12-07,Masculino,Jesus,MA,Engenheiro químico,7337.64,708.58,Economy,Ativa,2024-12-08,
125,2020-12-06,Paulo Novais,705.963.241-70,2004-08-22,Outro,Cassiano da Mata,MG,Cortador de cana-de-açucar,10457.67,698.52,Economy,Cancelada,2025-01-23,
126,2024-05-26,Diego Martins,086.345.179-93,1977-02-03,Masculino,Costela Alegre,RS,Baixista,16903.62,462.94,Standard,Ativa,2025-06-11,
127,2025-03-28,Srta. Ana Júlia da Mata,601.745.938-48,1998-10-05,Outro,da Rosa do Sul,DF,Dançarino,11381.5,450.87,Premium,Cancelada,2025-04-10,
128,2025-06-09,Isabelly Sampaio,936.142.578-19,1956-06-07,Masculino,das Neves Paulista,MS,Pára-quedista,13300.59,714.04,Premium,Ativa,2025-08-17,
129,2025-01-15,Sra. Luiza Costela,596.041.873-84,1976-08-27,Feminino,da Rocha Grande,DF,Geofísico,10356.21,487.39,Premium,Inativa,2025-07-06,
130,2021-10-11,Maitê da Cunha,798.152.603-59,1982-09-04,Feminino,Nogueira,RS,Astrofísico,3610.61,335.94,Standard,Ativa,2022-09-21,
131,2023-04-01,Ana Julia Teixeira,062.851.973-77,1998-04-17,Outro,Cunha,PE,Microfonista,2491.77,382.06,Economy,Inativa,2023-06-04,
132,2022-06-29,Raquel Almeida,086.974.231-04,1985-06-18,Masculino,Montenegro,TO,Timoneiro,3691.35,720.44,Economy,Cancelada,2024-08-01,2024-06-04
133,2023-12-31,Calebe Moura,238.469.517-73,1996-05-20,Masculino,Freitas,MG,Ministro,15850.33,509.21,Standard,Inativa,2025-06-25,
134,2023-06-15,Anna Liz Rezende,016.374.592-70,2007-01-23,Feminino,Barros,PR,Marechal,7149.53,641.57,Economy,Cancelada,2023-12-11,
135,2023-11-08,Ana Cecília da Conceição,374.062.591-07,1968-11-03,Masculino,Costela,RJ,Clap loader,13072.03,445.56,Premium,Ativa,2025-08-03,2025-08-01
136,2024-05-22,Kaique Castro,936.542.870-00,1990-12-19,Outro,Montenegro,SC,Gourmet,2888.7,301.47,Standard,Cancelada,2024-11-18,
137,2020-11-23,Dr. Luan Alves,478.129.360-31,1974-12-24,Feminino,Barros da Mata,SE,Engenheiro de aquicultura,2103.84,458.46,Standard,Cancelada,2024-11-12,
138,2024-03-11,Dra. Daniela Sousa,658.097.213-03,1954-05-21,Masculino,Caldeira Grande,AP,Cozinheira,14216.62,808.15,Economy,Cancelada,2024-05-30,
139,2022-10-13,Apollo Borges,581.462.307-17,1981-12-07,Masculino,Gomes de Minas,SC,Produtor de audio visual,9365.07,599.51,Economy,Ativa,2024-03-28,
140,2025-02-25,Mateus Cavalcante,248.931.057-79,2006-05-12,Masculino,Leão da Mata,PR,Babysitter,2821.08,391.26,Standard,Cancelada,2025-06-04,
141,2022-06-07,Fernanda Marques,124.038.597-88,2004-05-23,Outro,Lopes Grande,MA,Funileiro,18542.06,541.53,Standard,Cancelada,2024-09-26,
142,2023-08-24,Miguel Dias,473.286.510-08,1989-12-15,Feminino,Pastor,PI,Corregedor de justiça,18939.51,575.26,Standard,Inativa,2024-08-05,
143,2024-01-14,Srta. Maysa da Rocha,167.952.830-03,1981-07-14,Masculino,Vieira das Flores,AP,Mensageiro,17954.32,703.99,Economy,Inativa,2025-07-21,2024-10-08
144,2025-08-01,Sra. Ísis Andrade,581.072.946-02,1977-06-04,Masculino,Sá Alegre,SE,Maquiador,19295.36,759.78,Economy,Cancelada,2025-08-07,2025-08-09
145,2021-02-26,Dra. Hellena Machado,567.894.130-57,1955-05-07,Outro,Caldeira de da Rocha,PA,Bedel,16696.29,616.94,Premium,Inativa,2022-02-23,
146,2021-03-17,Luigi Marques,387.290.561-95,2004-03-09,Feminino,Azevedo da Mata,AL,Trilheiro ou músico de cinema,18447.35,399.82,Economy,Inativa,2021-10-31,
147,2021-03-15,Eloah Sousa,382.417.950-41,1998-11-18,Feminino,Pires da Serra,CE,Soldado,19427.52,558.51,Standard,Inativa,2024-01-26,
148,2023-11-30,Rael Pastor,690.518.237-03,1972-07-28,Masculino,Nascimento,CE,Imunologista,17368.06,481.39,Economy,Inativa,2025-03-06,
149,2022-04-04,Vitória Porto,568.402.719-94,1976-03-01,Feminino,Pimenta Verde,AP,Tecnólogo em Ciências das plantas medicinais,16550.97,602.55,Standard,Ativa,2023-02-21,
150,2021-04-18,Marcelo Sales,286.341.750-90,1956-06-18,Feminino,Porto de Nascimento,RR,Supervisor,3644.55,724.9,Economy,Ativa,2022-08-14,
151,2025-04-13,Davi Miguel Cirino,570.628.349-47,1959-09-04,Outro,Novais do Galho,RS,Ombudsman,10046.56,329.81,Economy,Inativa,2025-05-04,
152,2022-09-03,Rebeca Cavalcante,103.286.947-03,1978-02-23,Feminino,Vasconcelos,PB,Profissional de áudio,13070.06,717.99,Premium,Inativa,2024-10-08,
153,2024-05-04,Danilo da Mata,850.693.147-93,1994-01-19,Feminino,da Rosa,AL,Meredeira,9605.15,684.04,Premium,Ativa,2025-01-17,
154,2021-12-10,Isaac Costela,956.147.802-11,1999-08-20,Outro,Nascimento Paulista,RN,Pianista,16287.3,690.38,Standard,Cancelada,2022-04-06,
155,2021-06-20,Aylla Carvalho,604.951.782-76,2006-05-30,Feminino,da Cruz das Flores,PR,Cirurgião bucal,3224.37,845.74,Premium,Inativa,2022-09-07,2023-11-07
156,2023-07-07,Ana Vitória Porto,164.523.790-70,1965-03-19,Outro,Siqueira,PB,Serventuário,16894.65,574.11,Economy,Inativa,2024-05-22,
157,2023-12-13,Maria Laura Cunha,637.295.480-00,1970-05-28,Feminino,Viana de Fernandes,RO,Artista de circo,9186.57,565.37,Standard,Ativa,2024-01-20,
158,2020-11-08,Davi Castro,790.315.284-04,1985-12-11,Masculino,Rezende,MS,Engenheiro de ergonomia,8596.34,807.03,Economy,Cancelada,2024-11-06,
159,2021-01-14,Miguel Pires,436.507.981-66,1988-03-02,Masculino,Cardoso,RJ,Eletricista de automóveis,6610.58,734.5,Standard,Inativa,2024-01-07,
160,2023-03-24,Sr. Otávio Sales,271.830.456-17,1975-06-11,Outro,da Rosa Grande,MG,Ciclista,6442.69,301.41,Economy,Inativa,2023-03-31,
161,2023-11-02,Alexia Pimenta,275.816.394-28,1988-11-25,Outro,Borges,AM,Cinegrafista,19979.69,569.3,Premium,Inativa,2023-12-16,
162,2024-05-22,Luara Vieira,234.501.986-70,1983-10-28,Feminino,Costela do Galho,RN,Panfleteiro,7650.14,719.58,Standard,Inativa,2024-11-11,
